08-05-2019 15:52:05.313,-,API,"D200K,0013A200417E381A,XBee PRO 900HP 200K,8075,COM3 - 9600/8/N/1/N,3"
08-05-2019 15:53:27.808,56,RECV,7E0070900013A200417E3816FFFE4100000039DFF4F5F2F1FBC000518B800CF7CCCCC0B00C0B00C060180CCCF3F046FFEEC43310F1F6C193B95FFF0B76CA0B12C9B40C0B00C0B00C0B12C41B88C17B75CA1B88C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100008B44C58B61C193B99C3C2
08-05-2019 15:53:27.908,57,RECV,7E0070900013A200417E3816FFFE410000003ADFF4F5F2F1FBC000518B800CF7CCCCC0B00C0B00C060180CCCF3F046FFEEC43310F1F6C193B95FFF0B76CA0B12C9B40C0B00C0B00C0B12C41B88C17B75CA1B88C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100008B44C58B61C193B99C3C1
08-05-2019 15:53:28.908,58,RECV,7E0071900013A200417E3816FFFE410000003BDFF4F5F2F1FBC000519B800CF7CCCCC0B00C0B00C060180CCCF3F047FFEEC44410F1F6C193B95FFF0B77CA0B11C9B41C0B00C0B06CA0B06C40B75C17B38CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100015B16C58B64C193B44C3109
08-05-2019 15:53:29.008,59,RECV,7E0071900013A200417E3816FFFE410000003CDFF4F5F2F1FBC000519B800CF7CCCCC0B00C0B00C060180CCCF3F047FFEEC44410F1F6C193B95FFF0B77CA0B11C9B41C0B00C0B06CA0B06C40B75C17B38CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100015B16C58B64C193B44C3108
08-05-2019 15:53:30.298,60,RECV,7E006E900013A200417E3816FFFE410000003DDFF4F5F4F4F9C000521B399CCCCC0C00CCCFF1CCF1CCF07FFCFFEEC45819F1F6C193B95FFF0B76CA0B09C9B39C0B00CA0B06C0B06C40B06C17B75CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100012B56C58B67C193B64C31C3
08-05-2019 15:53:30.448,61,RECV,7E006E900013A200417E3816FFFE410000003EDFF4F5F4F4F9C000521B399CCCCC0C00CCCFF1CCF1CCF07FFCFFEEC45880F1F6C193B95FFF0B75CA0B09C9B38CA0B06C0B00C0B06C40B38C18B19CA3B06C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100012B56C58B67C193B64C3150
08-05-2019 15:53:31.768,62,RECV,7E0072900013A200417E3816FFFE410000003FDFF4F5F2F1FBC000522B800CF7CCCCC0B00C0B00C060180CCCF3F04FFEFFEEC47302F1F6C193B95FFF0B75CA0B09C9B38CA0B06CA0B06C0B06C40B75C18B88CA2B69C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100017B80C58B74C193B20C3FC
08-05-2019 15:53:31.888,63,RECV,7E0072900013A200417E3816FFFE4100000040DFF4F5F2F1FBC000522B800CF7CCCCC0B00C0B00C060180CCCF3F04FFEFFEEC47302F1F6C193B95FFF0B75CA0B09C9B38CA0B06CA0B06C0B06C40B75C18B88CA2B69C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100017B80C58B74C193B20C3FB
08-05-2019 15:53:32.848,64,RECV,7E0071900013A200417E3816FFFE4100000041DFF4F5F2F1FBC000523B800CF7CCCCC0B00C0B00C060180CCCF3F04FFDFFEEC48367F1F6C193B95FFF0B76CA0B10C9B39C0B00C0B19C0B06C40B38C17B75CA3B06C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100014B56C58B73C193B48C3FF
08-05-2019 15:53:32.958,65,RECV,7E0072900013A200417E3816FFFE4100000042DFF4F5F2F1FBC000523B800CF7CCCCC0B00C0B00C060180CCCF3F04FFDFFEEC48428F1F6C193B95FFF0B76CA0B11C9B39C0B00CA0B12C0B00C41B19C17B06CA3B06C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100014B56C58B73C193B48C3147
